20170910: [start_run] thttpd exit
2017-09-10 19:24:30: [start_run] thttpd exit
2017-09-10 19:24:32: [start_run] thttpd exit
2017-09-10 19:24:35: [start_run] thttpd exit
2017-09-10 19:24:37: [start_run] thttpd exit
2017-09-10 19:24:39: [start_run] thttpd exit
2017-09-10 19:24:41: [start_run] thttpd exit
2017-09-10 19:24:44: [start_run] thttpd exit
2017-09-10 19:24:46: [start_run] thttpd exit
2017-09-10 19:24:48: [start_run] thttpd exit
2017-09-10 19:24:50: [start_run] thttpd exit
2017-09-10 19:24:53: [start_run] thttpd exit
